has_company_logo,has_questions,telecommuting,missing_salary,missing_company_profile,missing_requirements,missing_benefits,missing_education,missing_experience,missing_industry,missing_location,desc_length,req_length,profile_length,red_flag_count,emp_Contract,emp_Full-time,emp_Other,emp_Part-time,emp_Temporary,emp_Unknown
1,0,0,1,0,0,0,0,0,0,0,1872,443,1025,0,False,True,False,False,False,False
1,0,0,1,0,0,1,0,0,0,0,1992,1355,684,0,False,True,False,False,False,False
1,1,0,1,0,1,1,1,0,0,0,1278,0,1970,0,False,True,False,False,False,False
1,0,0,1,0,0,0,1,1,0,0,1293,914,702,0,False,True,False,False,False,False
1,0,0,1,0,0,0,0,0,0,0,1701,842,566,0,False,True,False,False,False,False
0,0,0,0,1,0,1,1,1,1,0,1356,388,0,0,False,True,False,False,False,False
1,1,0,1,0,0,0,0,0,0,0,703,336,505,0,False,True,False,False,False,False
1,1,0,1,0,0,0,1,0,0,0,460,402,1187,0,False,False,False,False,False,True
0,0,0,0,1,0,0,0,0,0,0,938,374,0,0,False,True,False,False,False,False
0,0,1,1,1,0,1,0,0,0,0,1554,1641,0,0,False,True,False,False,False,False
1,0,0,1,0,0,1,0,0,0,0,2535,1243,684,0,False,True,False,False,False,False
1,1,1,1,0,0,0,0,0,0,0,991,172,279,0,True,False,False,False,False,False
1,1,0,1,0,0,0,1,1,1,0,152,142,364,0,False,False,False,False,False,True
1,1,1,1,0,0,0,0,0,0,0,1172,938,1050,0,False,True,False,False,False,False
1,0,0,0,0,0,1,1,0,0,0,1808,690,439,0,False,True,False,False,False,False
1,0,0,1,0,0,0,1,0,1,0,368,397,244,0,False,False,False,False,True,False
1,0,0,1,0,1,0,0,0,0,0,575,0,888,0,False,True,False,False,False,False
1,1,0,0,0,0,0,0,0,0,0,1919,105,1628,0,False,True,False,False,False,False
1,1,0,1,0,0,0,0,0,0,0,2685,838,1194,0,False,True,False,False,False,False
1,1,0,1,0,0,1,0,0,0,0,671,489,974,0,False,True,False,False,False,False
1,0,0,1,0,0,1,0,0,0,0,755,1531,447,0,False,False,False,True,False,False
1,0,0,1,0,0,0,0,0,0,0,302,192,423,0,False,True,False,False,False,False
0,0,0,1,1,0,0,1,1,1,0,1105,1157,0,0,False,False,False,False,False,True
1,1,0,1,0,0,1,0,0,0,0,846,421,511,0,False,True,False,False,False,False
1,0,0,1,0,0,0,0,0,0,0,2155,1401,614,0,False,True,False,False,False,False
1,1,0,1,0,0,0,0,0,0,0,1659,504,748,0,False,True,False,False,False,False
